brand,oem,catalog_products,compatible_printers,oem_search_signal,printer_search_signal_dedup,market_demand_estimate,market_data_confidence,competition_index_avg,bid_low_avg_eur,bid_high_avg_eur,initial_state,top_google_signals
HP,W1420A,4,6,30.0,114.5,122.0,HIGH,100.0,0.34,1.29,PONECHAŤ,HP LaserJet M110w toner: 90 | HP LaserJet MFP M140w toner: 70 | HP W1420A: 30 | W1420A: 30 | W1420A toner: 20
HP,W1420XL,1,2,0.0,114.5,114.5,HIGH,100.0,0.33,1.05,PONECHAŤ,HP LaserJet M110w toner: 90 | HP LaserJet MFP M140w toner: 70 | toner HP LaserJet M110w: 20 | HP M140w toner: 20 | M140w toner: 20
HP,CE285A,4,13,50.0,96.0,108.5,HIGH,99.2,0.36,1.56,PONECHAŤ,CE285A: 50 | HP LaserJet M1132MFP toner: 40 | HP LaserJet P1102 toner: 40 | HP LaserJet Pro P1102 toner: 40 | CE285A toner: 30
HP,CE285X,1,13,10.0,96.0,98.5,HIGH,99.2,0.35,1.6,PONECHAŤ,HP LaserJet M1132MFP toner: 40 | HP LaserJet P1102 toner: 40 | HP LaserJet Pro P1102 toner: 40 | HP P1102 toner: 20 | HP P1102 toner: 20
HP,CE285AD,1,13,10.0,96.0,98.5,HIGH,99.2,0.33,1.58,PONECHAŤ,HP LaserJet M1132MFP toner: 40 | HP LaserJet P1102 toner: 40 | HP LaserJet Pro P1102 toner: 40 | HP P1102 toner: 20 | HP P1102 toner: 20
HP,Q2612A,4,18,20.0,82.5,87.5,HIGH,97.7,0.27,1.16,PONECHAŤ,HP LaserJet 1020 toner: 30 | Q2612A: 20 | HP LaserJet 1018 toner: 20 | HP Q2612A: 10 | Q2612A toner: 10
HP,Q2612X,1,18,10.0,82.5,85.0,HIGH,95.8,0.22,1.22,PONECHAŤ,HP LaserJet 1020 toner: 30 | HP LaserJet 1018 toner: 20 | HP Q2612X: 10 | Q2612X: 10 | Q2612X toner: 10
HP,Q2612AD,1,18,10.0,82.5,85.0,HIGH,97.5,0.22,1.22,PONECHAŤ,HP LaserJet 1020 toner: 30 | HP LaserJet 1018 toner: 20 | HP Q2612AD: 10 | Q2612AD: 10 | Q2612AD toner: 10
HP,W2070A,4,7,20.0,74.5,79.5,HIGH,99.8,1.01,3.18,PONECHAŤ,HP Color Laser MFP 178nw toner: 50 | W2070A: 20 | HP Color Laser 150nw toner: 20 | toner HP Color Laser MFP 178nw: 20 | HP Color Laser MFP 179fnw toner: 20
Epson,C13T00S14A,2,33,10.0,76.5,79.0,HIGH,98.2,0.17,0.54,PONECHAŤ,Epson C13T00S14A: 10 | C13T00S14A: 10 | Epson L1110 toner: 10 | Epson L1250 toner: 10 | Epson L3110 toner: 10
Epson,C13T00S24A,2,33,10.0,76.5,79.0,HIGH,98.1,0.17,0.54,PONECHAŤ,C13T00S24A: 10 | Epson L1110 toner: 10 | Epson L1250 toner: 10 | Epson L3110 toner: 10 | L3110 toner: 10
