Stará URL;Typ;Navrhovaná nová URL;Akcia;Stav mapovania;Istota;Dôvod / poznámka;Kandidát slug;Kandidát názov;Skóre zhody
https://www.tonerymaxim.sk/;static;https://www.tonerymaxim.sk/;200 ZACHOVAŤ;ZHODA;vysoká;Rovnaký obsahový cieľ, mení sa nanajvýš trailing slash.;;;
https://www.tonerymaxim.sk/obchodne-podmienky/;static;https://www.tonerymaxim.sk/obchodne-podmienky;200 ZACHOVAŤ;ZHODA;vysoká;Rovnaký obsahový cieľ, mení sa nanajvýš trailing slash.;;;
https://www.tonerymaxim.sk/reklamacie/;static;https://www.tonerymaxim.sk/reklamacie;200 ZACHOVAŤ;ZHODA;vysoká;Rovnaký obsahový cieľ, mení sa nanajvýš trailing slash.;;;
https://www.tonerymaxim.sk/doprava/;static;https://www.tonerymaxim.sk/doprava-a-platba;301;JEDNOZNAČNÉ;vysoká;Jednoznačný funkčný ekvivalent v Astro.;;;
https://www.tonerymaxim.sk/registrace/;static;https://www.tonerymaxim.sk/registracia;301;JEDNOZNAČNÉ;vysoká;Jednoznačný funkčný ekvivalent v Astro.;;;
https://www.tonerymaxim.sk/moznosti-platby/;static;https://www.tonerymaxim.sk/doprava-a-platba;301;JEDNOZNAČNÉ;vysoká;Jednoznačný funkčný ekvivalent v Astro.;;;
https://www.tonerymaxim.sk/kontakt/;static;https://www.tonerymaxim.sk/kontakt;200 ZACHOVAŤ;ZHODA;vysoká;Rovnaký obsahový cieľ, mení sa nanajvýš trailing slash.;;;
https://www.tonerymaxim.sk/vernostny-program/;static;https://www.tonerymaxim.sk/vernostny-program;200 ZACHOVAŤ;ZHODA;vysoká;"Verejná indexovateľná stránka vernostného programu; prihlásenie je až následná akcia.";;;
https://www.tonerymaxim.sk/koleso-zliav/;static;;MANUÁLNE ROZHODNÚŤ;CHÝBA CIEĽ;nízka;Nový Astro projekt nemá ekvivalentnú verejnú route.;;;
https://www.tonerymaxim.sk/faq-caste-otazky/;static;https://www.tonerymaxim.sk/faq;301;JEDNOZNAČNÉ;vysoká;Jednoznačný funkčný ekvivalent v Astro.;;;
https://www.tonerymaxim.sk/gdpr/;static;https://www.tonerymaxim.sk/ochrana-osobnych-udajov;301;JEDNOZNAČNÉ;vysoká;Jednoznačný obsahový ekvivalent v novom e-shope.;;;
https://www.tonerymaxim.sk/cookies/;static;https://www.tonerymaxim.sk/cookies;200 ZACHOVAŤ;ZHODA;vysoká;Rovnaký obsahový cieľ, mení sa nanajvýš trailing slash.;;;
https://www.tonerymaxim.sk/zlavovy-kupon-napoveda/;static;;MANUÁLNE ROZHODNÚŤ;CHÝBA CIEĽ;nízka;Nový Astro projekt nemá ekvivalentnú verejnú route.;;;
https://www.tonerymaxim.sk/nase-clanky/;static;;MANUÁLNE ROZHODNÚŤ;CHÝBA CIEĽ;nízka;Nový Astro projekt nemá ekvivalentnú verejnú route.;;;
https://www.tonerymaxim.sk/mapa-stranek/;static;https://www.tonerymaxim.sk/sitemap.xml;301;JEDNOZNAČNÉ;vysoká;Jednoznačný funkčný ekvivalent v Astro.;;;
https://www.tonerymaxim.sk/hp/;printer-brand;https://www.tonerymaxim.sk/tlaciarne/hp;301;JEDNOZNAČNÉ;vysoká;Nový Astro projekt má verejnú brand route.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/;printer-category;https://www.tonerymaxim.sk/hp/laserova-tlaciaren;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet;printer-category;https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-3050-z/;printer-model;https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-3050-z;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1018/;printer-model;https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1018;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1015/;printer-model;https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1015;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1012/;printer-model;https://www.tonerymaxim.sk/hp/laserova-tlaciaren/laserjet/hp-laserjet-1012;VYTVORIŤ ROUTU / ZACHOVAŤ 200;CHÝBA V ASTRO;vysoká;Starú indexovanú kategóriu/model tlačiarne nemožno bezpečne zlučovať na brand alebo noindex vyhľadávanie. Odporúčané zachovať pôvodnú URL ako indexovateľnú landing page.;;;
